S.N0,Tooth,Red,Green,Blue
1,A1,246.76470588,224.,187.
2,A2,222.47058824, 199.82352941, 163.11764706
3,A3,236.11764706, 206.35294118, 159.64705882
4,A3.5,241.94117647, 213.17647059, 167.23529412
5,A4,229.76470588, 188.82352941, 130.11764706
6,B1,243.88235294, 228.11764706, 193.
7,B2,236.11764706, 213.11764706, 160.88235294
8,B3,239.82352941, 207.94117647, 147.05882353
9,B4,239.47058824, 204.29411765, 138.35294118
10,C1,239.64705882, 217.88235294, 169.35294118
11,C2,232.64705882, 210.29411765, 155.17647059
12,C3,232.82352941, 203.58823529, 149.05882353
13,C4,220.11764706, 190.70588235, 145.05882353
14,D2,237.58823529, 214.,172.64705882
15,D3,232.05882353, 198.88235294, 153.35294118
16,D4,240.35294118, 209.41176471, 154.05882353




